1	zz	cbs	1111	11	1111	11	11	0	
白夜行	[日]东野圭吾	南海出版公司	9787544242516	B	一楼	2	2	0	
书名	作者	cbs	10086	A	nanhu	2	2	0	
解忧杂货店	[日]东野圭吾	南海出版公司	9787544270878	A	一楼	2	2	0	
活着	余华	作家出版社	9787506365437	A	一楼	2	2	0	
追风筝的人	[美]卡勒德·胡赛尼	上海人民出版社	9787208061644	A	一楼	2	2	0	
嫌疑人X的献身	[日]东野圭吾	南海出版公司	9787544241694	A	一楼	2	2	0	
三体	刘慈欣	重庆出版社	9787536692930	A	一楼	2	2	0	
平凡的世界（全三部）	路遥	人民文学出版社	9787020049295	A	一楼	2	2	0	
围城	钱钟书	人民文学出版社	9787020024759	A	一楼	2	2	0	
红楼梦	[清]曹雪芹著	人民文学出版社	9787020002207	A	一楼	2	2	0	
小王子	[法]圣埃克苏佩里	人民文学出版社	9787020042494	A	一楼	2	2	0	
许三观卖血记	余华	南海出版公司	9787544211765	A	一楼	2	2	0	
房思琪的初恋乐园	林奕含	北京联合出版公司	9787559614636	A	一楼	2	2	0	
百年孤独	[哥伦比亚]加西亚·马尔克斯	南海出版公司	9787544253994	A	一楼	2	2	0	
骆驼祥子	老舍	人民文学出版社	9787020028115	A	一楼	2	2	0	
鲁滨逊漂流记	[英]丹尼尔·笛福	广西民族出版社	9787536340497	A	一楼	2	2	0	
月亮与六便士	[英]威廉·萨默塞特·毛姆	浙江文艺出版社	9787533936020	A	一楼	2	2	0	
盗墓笔记	南派三叔	中国友谊出版公司	9787505722835	A	一楼	2	2	0	
人间失格	太宰治	吉林出版集团有限责任公司	9787546302393	A	一楼	2	2	0	
白夜行	[日]东野圭吾	南海出版公司	9787544258609	A	一楼	2	2	0	
挪威的森林	[日]村上春树	上海译文出版社	9787532725694	A	一楼	2	2	0	
边城	沈从文	北岳文艺出版社	9787537823425	A	一楼	2	2	0	
恶意	[日]东野圭吾	南海出版公司	9787544244428	B	一楼	2	2	0	
霍乱时期的爱情	[哥伦比亚]加西亚·马尔克斯	南海出版公司	9787544258975	B	一楼	2	2	0	
老人与海	[美]欧内斯特·海明威	上海译文出版社	9787532723447	B	一楼	2	2	0	
哈利·波特与魔法石	[英]J·K·罗琳	人民文学出版社	9787020033430	B	一楼	2	2	0	
三体Ⅱ	刘慈欣	重庆出版社	9787536693968	B	一楼	3	3	0	
简爱（英文全本）	[英]夏洛蒂·勃朗特	世界图书出版公司	9787506261579	B	一楼	3	3	0	
三体Ⅲ	刘慈欣	重庆出版社	9787229030933	B	一楼	3	3	0	
1984	[英]乔治·奥威尔	北京十月文艺出版社	9787530210291	B	二楼	3	3	0	
穆斯林的葬礼	霍达	北京十月文艺出版社	9787530201244	B	二楼	3	3	0	
狼图腾	姜戎	长江文艺出版社	9787535427304	B	二楼	3	3	0	
达·芬奇密码	[美]丹·布朗	上海人民出版社	9787208050037	B	二楼	3	3	0	
飘	[美]玛格丽特·米切尔	译林出版社	9787806570920	B	二楼	3	3	0	
白鹿原	陈忠实	人民文学出版社	9787020026906	B	二楼	3	3	0	
无声告白	[美]伍绮诗	江苏凤凰文艺出版社	9787539982830	B	二楼	3	3	0	
局外人	[法]阿尔贝·加缪	上海译文出版社	9787532751471	B	二楼	3	3	0	
三国演义（全二册）	罗贯中	人民文学出版社	9787020008728	B	二楼	3	3	0	
牧羊少年奇幻之旅	[巴西]保罗·柯艾略	南海出版公司	9787544244190	B	二楼	3	3	0	
城南旧事	关维兴图	中国青年出版社	9787500652045	B	二楼	3	3	0	
了不起的盖茨比	菲茨杰拉德	人民文学出版社	9787020046089	B	二楼	3	3	0	
佛兰德镜子	dome	后浪丨四川文艺出版社	9787541154478	B	二楼	3	3	0	
